埋葬	to bury
昼夜	day and night; period of 24 hours; continuously, without stop
轮廓	outline; silhouette
悬挂	to suspend; to hang; (vehicle) suspension
颁发	to issue; to promulgate; to award
夹杂	to mix together (disparate substances); to mingle; a mix; to be tangled up with
泄露	to leak (information); to divulge
盛开	blooming; in full flower
恶化	to worsen
更正	to correct; to make a correction
覆盖	to cover
纪要	minutes; written summary of a meeting
华丽	gorgeous
肖像	portrait (painting, photo etc); (in a general sense) representation of a person; likeness
疏忽	to neglect; to overlook; negligence; carelessness
沉着	steady; calm and collected; not nervous
要命	to cause sb's death; extremely; terribly; (used in complaining about sth) to be a nuisance
变故	an unforeseen event; accident; misfortune
弊病	malady; evil; malpractice; drawback; disadvantage
信赖	to trust; to have confidence in; to have faith in; to rely on
动身	to go on a journey; to leave
掠夺	to plunder; to rob
麻痹	paralysis; palsy; numbness; to benumb; (fig.) to lull; negligent; apathetic
歪曲	to distort; to misrepresent
干劲	enthusiasm for doing sth
遏制	to check; to contain; to hold back; to keep within limits; to constrain; to restrain
冻结	to freeze (water etc); (fig.) to freeze (assets, prices etc)
诞辰	birthday
衬托	to serve to highlight; to serve as a backdrop or contrasting element
啰唆	variant of 啰嗦[luō suo]
沉思	to contemplate; to ponder; contemplation; meditation
辨认	to recognize; to identify
讥笑	to sneer
生疏	unfamiliar; strange; out of practice; not accustomed
蹦	to jump; to bounce; to hop
赞叹	to exclaim in admiration
目睹	to witness; to see at first hand; to see with one's own eyes
盘旋	to spiral; to circle; to go around; to hover; to orbit
竖	to erect; vertical; vertical stroke (in Chinese characters)
连锁	to interlock; to be linked; chain (store etc)
饥饿	hunger; starvation; famine
赤道	equator (of the earth or a celestial body); celestial equator
人道	human sympathy; humanitarianism; humane; the "human way", one of the stages in the cycle of reincarnation (Buddhism); sexual intercourse
昔日	former days; in the past
是非	right and wrong; quarrel
花蕾	bud; flower bud
溜	used in 冰溜[bīng liù]; to slip away; to escape in stealth; to skate||used in 冰溜[bīng liù]
攒	to collect; to hoard; to accumulate; to save; to bring together||to collect
畏惧	to fear; to dread; foreboding
一度	for a time; at one time; one time; once
投降	to surrender
司令	commanding officer
草案	draft (legislation, proposal etc)
团圆	to have a reunion
体面	dignity; prestige; face; honorable; creditable; (of sb's appearance) presentable; respectable
口腔	oral cavity
