您	/you (courteous, as opposed to informal 你[ni3])/
它	/it/
大家	/everyone/influential family/great expert/
每	/each/every/
为什么	/why?/for what reason?/
零	/zero/nought/zero sign/fractional/fragmentary/odd (of numbers)/(placed between two numbers to indicate a smaller quantity followed by a larger one)/fraction/(in mathematics) remainder (after division)/extra/to wither and fall/to wither/
两	/two/both/some/a few/tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old)/
百	/hundred/numerous/all kinds of/
千	/see 鞦韆|秋千[qiu1 qian1]/
第一	/first/number one/primary/
次	/next in sequence/second/the second (day, time etc)/secondary/vice-/sub-/infra-/inferior quality/substandard/order/sequence/hypo- (chemistry)/classifier for enumerated events: time/
件	/item/component/classifier for events, things, clothes etc/
别	/to make sb change their ways, opinions etc/
非常	/very; really/unusual; extraordinary/
也	/(adverb) also; both ... and ... (before predicates only)/(literary) particle having functions similar to 啊[a5]/
还	/to pay back/to return/
最	/most/the most/-est (superlative suffix)/
真	/really/truly/indeed/real/true/genuine/
正在	/just at (that time)/right in (that place)/right in the middle of (doing sth)/
已经	/already/
一起	/in the same place/together/with/altogether (in total)/
再	/again; once more; re-/second; another/then (after sth, and not until then)/no matter how ... (followed by an adjective or verb, and then (usually) 也[ye3] or 都[dou1] for emphasis)/
就	/(after a suppositional clause) in that case; then/(after a clause of action) as soon as; immediately after/(same as 就是[jiu4 shi4]) merely; nothing else but; simply; just; precisely; exactly/only; as little as/as much as; as many as/to approach; to move towards/to undertake; to engage in/(often followed by 著|着[zhe5]) taking advantage of/(of food) to go with/with regard to; concerning/(pattern: 就[jiu4] ... 也[ye3] ...) even if ... still .../(pattern: 不[bu4] ... 就[jiu4] ...) if not ... then must be .../
因为……所以……	because…so…
虽然……但是……	although… but…
从	/from; through; via/(bound form) to follow/(bound form) to obey/(bound form) to engage in (an activity)/(used before a negative) ever/(bound form) (Taiwan pr. [zong4]) retainer; attendant/(bound form) (Taiwan pr. [zong4]) assistant; auxiliary; subordinate/(bound form) (Taiwan pr. [zong4]) related by common paternal grandfather or earlier ancestor/
比	/to compare/(followed by a noun and adjective) more {adj.} than {noun}/ratio/to gesture/(Taiwan pr. [bi4] in some compounds derived from Classical Chinese)/
往	/old variant of 往[wang3]/
离	/to leave/to part from/to be away from/(in giving distances) from/without (sth)/independent of/one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire/☲/
得	/to have to/must/ought to/to need to/
着	/to wear (clothes)/to contact/to use/to apply/
过	/(experienced action marker)/
吧	/(onom.) smack!/
机场	/airport; airfield/(slang) service provider for Shadowsocks or similar software for circumventing Internet censorship/CL:家[jia1],處|处[chu4]/
教室	/classroom/CL:間|间[jian1]/
房间	/room/CL:間|间[jian1],個|个[ge4]/
路	/road (CL:條|条[tiao2])/journey/route/line (bus etc)/sort; kind/
左边	/left/the left side/to the left of/
右边	/right side/right, to the right/
外	/outside/in addition/foreign/external/
旁边	/side; adjacent place/
一下	/(used after a verb) give it a go/to do (sth for a bit to give it a try)/one time/once/in a while/all of a sudden/all at once/
早上	/early morning/CL:個|个[ge4]/
晚上	/evening/night/CL:個|个[ge4]/in the evening/
小时	/hour/CL:個|个[ge4]/
时间	/(concept of) time/(duration of) time/(point in) time/
去年	/last year/
日	/sun/day/date, day of the month/
生日	/birthday/CL:個|个[ge4]/
哥哥	/older brother/CL:個|个[ge4],位[wei4]/
姐姐	/older sister/CL:個|个[ge4]/
弟弟	/younger brother/CL:個|个[ge4],位[wei4]/
妹妹	/younger sister/young woman/CL:個|个[ge4]/
丈夫	/husband/CL:個|个[ge4]/
妻子	/wife/CL:個|个[ge4]/
孩子	/child/
男人	/a man/a male/men/CL:個|个[ge4]/
女人	/wife/
服务员	/waiter/waitress/attendant/customer service personnel/CL:個|个[ge4],位[wei4]/
鱼	/fish/CL:條|条[tiao2],尾[wei3]/
羊肉	/mutton/goat meat/
牛奶	/cow's milk/CL:瓶[ping2],杯[bei1]/
鸡蛋	/(chicken) egg/hen's egg/CL:個|个[ge4],打[da2]/
西瓜	/watermelon/CL:顆|颗[ke1],個|个[ge5]/
咖啡	/coffee (loanword)/CL:杯[bei1]/
雪	/snow/CL:場|场[chang2]/(literary) to wipe away (a humiliation etc)/
药	/medicine/drug/substance used for a specific purpose (e.g. poisoning, explosion, fermenting)/CL:種|种[zhong3],服[fu4],味[wei4]/to poison/
手机	/cell phone/mobile phone/CL:部[bu4],支[zhi1]/
手表	/wristwatch/CL:塊|块[kuai4],隻|只[zhi1],個|个[ge4]/
眼睛	/eye/CL:隻|只[zhi1],雙|双[shuang1]/
身体	/the body/one's health/
公共汽车	/bus/CL:輛|辆[liang4],班[ban1]/
报纸	/newspaper/newsprint/CL:份[fen4],期[qi1],張|张[zhang1]/
门	/gate/door/CL:扇[shan4]/gateway/doorway/CL:個|个[ge4]/opening/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)/classifier for large guns/classifier for lessons, subjects, branches of technology/(suffix) -gate (i.e. scandal; derived from Watergate)/
题	/topic/problem for discussion/exam question/subject/to inscribe/to mention/CL:個|个[ge4],道[dao4]/
课	/subject/course/CL:門|门[men2]/class/lesson/CL:堂[tang2],節|节[jie2]/to levy/tax/form of divination/
姓	/family name/surname/CL:個|个[ge4]/to be surnamed/
问题	/question/problem/issue/topic/CL:個|个[ge4]/
事情	/affair; matter; thing; business/CL:件[jian4],樁|桩[zhuang1]/
考试	/to take an exam/exam/CL:次[ci4]/
票	/ticket/ballot/banknote/CL:張|张[zhang1]/person held for ransom/amateur performance of Chinese opera/classifier for groups, batches, business transactions/
意思	/idea/opinion/meaning/wish/desire/interest/fun/token of appreciation, affection etc/CL:個|个[ge4]/to give as a small token/to do sth as a gesture of goodwill etc/
颜色	/color/countenance/appearance/facial expression/pigment/dyestuff/
铅笔	/(lead) pencil/CL:支[zhi1],枝[zhi1],桿|杆[gan3]/
面条	/noodles/
火车站	/train station/
公司	/company; firm; corporation/CL:家[jia1]/
宾馆	/guesthouse/lodge/hotel/CL:個|个[ge4],家[jia1]/
说话	/to speak/to say/to talk/to gossip/to tell stories/talk/word/
卖	/to sell/to betray/to spare no effort/to show off or flaunt/
问	/to ask; to inquire/
走	/to walk/to go/to run/to move (of vehicle)/to visit/to leave/to go away/to die (euph.)/from/through/away (in compound verbs, such as 撤走[che4 zou3])/to change (shape, form, meaning)/
进	/to go forward/to advance/to go in/to enter/to put in/to submit/to take in/to admit/(math.) base of a number system/classifier for sections in a building or residential compound/
出	/variant of 出[chu1] (classifier for plays or chapters of classical novels)/
跑步	/to run/to jog/(military) to march at the double/
到	/to reach; to arrive/to leave for; to go to/to (a place); until (a time); up to (a point)/(verb complement indicating arriving at a place or reaching a point)/considerate; thoughtful; thorough/
穿	/to wear/to put on/to dress/to bore through/to pierce/to perforate/to penetrate/to pass through/to thread/
洗	/to wash; to bathe/to develop (photographs)/to shuffle (cards etc)/to erase (a recording)/
给	/to supply/to provide/
找	/to try to find/to look for/to call on sb/to find/to seek/to return/to give change/
懂	/to understand/to comprehend/
笑	/to laugh; to smile/to laugh at/
告诉	/to tell; to inform; to let know/
准备	/preparation/to prepare/to intend/to be about to/reserve (fund)/
开始	/to begin/beginning/to start/initial/CL:個|个[ge4]/
介绍	/to introduce (sb to sb)/to give a presentation/to present (sb for a job etc)/introduction/
帮助	/assistance; aid/to help; to assist/
玩	/variant of 玩[wan2]/Taiwan pr. [wan4]/
送	/to send; to deliver; to transmit/to give (as a present)/to see (sb) off/to accompany; to go along with/
等	/to wait for; to await/by the time; when; till/and so on; etc.; et al./(bound form) class; rank; grade/(bound form) equal to; same as/(used to end an enumeration)/(literary) (plural suffix attached to a personal pronoun or noun)/
让	/to yield/to permit/to let sb do sth/to have sb do sth/to make sb (feel sad etc)/by (indicates the agent in a passive clause, like 被[bei4])/
起床	/to get out of bed; to get up/
唱歌	/to sing a song/
跳舞	/to dance/
旅游	/trip/journey/tourism/travel/tour/to travel/
上班	/to go to work/to be on duty/to start work/to go to the office/
生病	/to fall ill/
休息	/rest/to rest/
运动	/to move/to exercise/sports/exercise/motion/movement/campaign/CL:場|场[chang3]/
游泳	/swimming/to swim/
踢足球	play footbal
打篮球	play basketball
完	/to finish/to be over/whole/complete/entire/
觉得	/to think that ...; to feel that .../to feel (uncomfortable etc)/
知道	/to know; to become aware of/also pr. [zhi1 dao5]/
希望	/to hope/a hope; a wish (CL:個|个[ge4])/
可以	/can/may/possible/able to/not bad/pretty good/
要	/to want; to need; to ask for/will; shall; about to/need to; should/if (same as 要是[yao4 shi5])/(bound form) important/
可能	/might (happen)/possible/probable/possibility/probability/maybe/perhaps/CL:個|个[ge4]/
高	/high/tall/above average/loud/your (honorific)/
红	/red/popular/revolutionary/bonus/
白	/white/snowy/pure/bright/empty/blank/plain/clear/to make clear/in vain/gratuitous/free of charge/reactionary/anti-communist/funeral/to stare coldly/to write wrong character/to state/to explain/vernacular/spoken lines in opera/
黑	/black/dark/sinister/secret/shady/illegal/to hide (sth) away/to vilify/(loanword) to hack (computing)/
忙	/busy/hurriedly/to hurry/to rush/
快	/rapid/quick/speed/rate/soon/almost/to make haste/clever/sharp (of knives or wits)/forthright/plainspoken/gratified/pleased/pleasant/
慢	/slow/
远	/to distance oneself from (classical)/
近	/near/close to/approximately/
好吃	/to be fond of eating/to be gluttonous/
累	/rope/to bind together/to twist around/
长	/chief/head/elder/to grow/to develop/to increase/to enhance/
新	/new/newly/meso- (chemistry)/
贵	/expensive/(bound form) highly valued; precious/(bound form) noble; of high rank/(prefix) (honorific) your/
便宜	/cheap; inexpensive/a petty advantage/to let sb off lightly/
晴	/clear/fine (weather)/
阴	/variant of 陰|阴[yin1]/
错	/mistake/wrong/bad/interlocking/complex/to grind/to polish/to alternate/to stagger/to miss/to let slip/to evade/to inlay with gold or silver/
快乐	/happy; joyful/
对	/right; correct/towards; at; for/concerning; regarding/to treat (sb a certain way)/to face/(bound form) opposite; facing; matching/to match together; to adjust/to fit; to suit/to answer; to reply/to add; to pour in (a fluid)/to check; to compare/classifier: couple; pair/
对	/right; correct/towards; at; for/concerning; regarding/to treat (sb a certain way)/to face/(bound form) opposite; facing; matching/to match together; to adjust/to fit; to suit/to answer; to reply/to add; to pour in (a fluid)/to check; to compare/classifier: couple; pair/
