聚会	/party/gathering/to meet/to get together/
登机牌	/boarding pass/
出发	/to set off/to start (on a journey)/
数量	/amount; quantity (CL:個|个[ge4])/quantitative/(math.) scalar quantity/
以为	/to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)/
高速公路	/expressway; highway; freeway/
积极	/active/energetic/vigorous/positive (outlook)/proactive/
零钱	/change (of money)/small change/pocket money/
死	/to die/impassable/uncrossable/inflexible/rigid/extremely/damned/
方法	/method; way; means/CL:個|个[ge4]/
